date,season,week,season_type,game_id,player_id,player_name,team,opponent,xp_made,xp_attempts,fg_made,fg_attempts,fg_made_distances,gsis_url
1998-11-15,1998,11,REG,1998_11_SF_ATL,nfl-wade-richey,Wade Richey,SF,ATL,1,1,2,2,"24,28",https://nflgsis.com/1998/reg/11/461/Gamebook.pdf
1998-11-15,1998,11,REG,1998_11_TB_JAX,nfl-mike-hollis,Mike Hollis,JAX,TB,2,2,3,3,"31,27,34",https://nflgsis.com/1998/reg/11/463/Gamebook.pdf
1998-11-22,1998,12,REG,1998_12_BAL_CIN,nfl-doug-pelfrey,Doug Pelfrey,CIN,BAL,1,1,2,2,"40,34",https://nflgsis.com/1998/reg/12/467/Gamebook.pdf
1998-11-22,1998,12,REG,1998_12_BAL_CIN,nfl-matt-stover,Matt Stover,BAL,CIN,2,2,2,2,"34,23",https://nflgsis.com/1998/reg/12/467/Gamebook.pdf
1998-11-22,1998,12,REG,1998_12_CAR_STL,nfl-jeff-wilkins,Jeff Wilkins,STL,CAR,2,2,2,2,"39,41",https://nflgsis.com/1998/reg/12/468/Gamebook.pdf
1998-11-22,1998,12,REG,1998_12_CHI_ATL,nfl-jeff-jaeger,Jeff Jaeger,CHI,ATL,1,1,2,2,"35,32",https://nflgsis.com/1998/reg/12/469/Gamebook.pdf
1998-11-22,1998,12,REG,1998_12_CHI_ATL,nfl-morten-andersen,Morten Andersen,ATL,CHI,2,2,2,2,"50,44",https://nflgsis.com/1998/reg/12/469/Gamebook.pdf
1998-11-22,1998,12,REG,1998_12_GB_MIN,nfl-gary-anderson,Gary Anderson,MIN,GB,2,2,2,2,"35,28",https://nflgsis.com/1998/reg/12/471/Gamebook.pdf
1998-11-22,1998,12,REG,1998_12_IND_BUF,nfl-steve-christie,Steve Christie,BUF,IND,4,4,2,2,"35,24",https://nflgsis.com/1998/reg/12/472/Gamebook.pdf
1998-11-22,1998,12,REG,1998_12_JAX_PIT,nfl-norm-johnson,Norm Johnson,PIT,JAX,3,3,3,3,"38,29,41",https://nflgsis.com/1998/reg/12/473/Gamebook.pdf
1998-11-22,1998,12,REG,1998_12_KC_SD,nfl-pete-stoyanovich,Pete Stoyanovich,KC,SD,4,4,3,4,"27,42,50",https://nflgsis.com/1998/reg/12/474/Gamebook.pdf
1998-11-23,1998,12,REG,1998_12_MIA_NE,nfl-adam-vinatieri,Adam Vinatieri,NE,MIA,2,2,4,4,"25,44,45,24",https://nflgsis.com/1998/reg/12/480/Gamebook.pdf
1998-11-22,1998,12,REG,1998_12_NO_SF,nfl-doug-brien,Doug Brien,NO,SF,2,2,2,3,"47,22",https://nflgsis.com/1998/reg/12/479/Gamebook.pdf
1998-11-22,1998,12,REG,1998_12_OAK_DEN,nfl-jason-elam,Jason Elam,DEN,OAK,4,4,2,2,"33,23",https://nflgsis.com/1998/reg/12/476/Gamebook.pdf
1998-11-22,1998,12,REG,1998_12_PHI_NYG,nfl-brad-daluiso,Brad Daluiso,NYG,PHI,2,2,2,2,"40,49",https://nflgsis.com/1998/reg/12/477/Gamebook.pdf
1998-11-22,1998,12,REG,1998_12_SEA_DAL,nfl-richie-cunningham,Richie Cunningham,DAL,SEA,3,3,3,3,"47,44,28",https://nflgsis.com/1998/reg/12/478/Gamebook.pdf
1998-11-29,1998,13,REG,1998_13_ARI_KC,nfl-pete-stoyanovich,Pete Stoyanovich,KC,ARI,4,4,2,2,"37,18",https://nflgsis.com/1998/reg/13/483/Gamebook.pdf
1998-11-29,1998,13,REG,1998_13_ATL_STL,nfl-morten-andersen,Morten Andersen,ATL,STL,1,1,2,2,"42,33",https://nflgsis.com/1998/reg/13/484/Gamebook.pdf
1998-11-29,1998,13,REG,1998_13_BUF_NE,nfl-steve-christie,Steve Christie,BUF,NE,0,0,3,4,"34,26,22",https://nflgsis.com/1998/reg/13/485/Gamebook.pdf
1998-11-29,1998,13,REG,1998_13_CAR_NYJ,nfl-john-hall,John Hall,NYJ,CAR,4,4,4,4,"30,37,26,38",https://nflgsis.com/1998/reg/13/486/Gamebook.pdf
1998-11-29,1998,13,REG,1998_13_IND_BAL,nfl-matt-stover,Matt Stover,BAL,IND,3,3,3,3,"43,48,47",https://nflgsis.com/1998/reg/13/487/Gamebook.pdf
1998-11-29,1998,13,REG,1998_13_JAX_CIN,nfl-mike-hollis,Mike Hollis,JAX,CIN,4,4,2,2,"23,47",https://nflgsis.com/1998/reg/13/488/Gamebook.pdf
1998-11-26,1998,13,REG,1998_13_MIN_DAL,nfl-richie-cunningham,Richie Cunningham,DAL,MIN,3,3,3,3,"30,46,47",https://nflgsis.com/1998/reg/13/481/Gamebook.pdf
1998-11-29,1998,13,REG,1998_13_NO_MIA,nfl-olindo-mare,Olindo Mare,MIA,NO,3,3,3,3,"27,32,34",https://nflgsis.com/1998/reg/13/489/Gamebook.pdf
1998-11-26,1998,13,REG,1998_13_PIT_DET,nfl-jason-hanson-2,Jason Hanson,DET,PIT,1,1,4,5,"45,51,35,42",https://nflgsis.com/1998/reg/13/482/Gamebook.pdf
1998-11-26,1998,13,REG,1998_13_PIT_DET,nfl-norm-johnson,Norm Johnson,PIT,DET,1,1,3,4,"30,38,25",https://nflgsis.com/1998/reg/13/482/Gamebook.pdf
1998-11-29,1998,13,REG,1998_13_TEN_SEA,nfl-al-del-greco,Al Del Greco,TEN,SEA,0,0,4,4,"26,30,43,43",https://nflgsis.com/1998/reg/13/492/Gamebook.pdf
1998-11-29,1998,13,REG,1998_13_TEN_SEA,nfl-todd-peterson-2,Todd Peterson,SEA,TEN,2,2,2,2,"50,48",https://nflgsis.com/1998/reg/13/492/Gamebook.pdf
1998-11-29,1998,13,REG,1998_13_WAS_OAK,nfl-cary-blanchard,Cary Blanchard,WAS,OAK,3,3,2,2,"28,47",https://nflgsis.com/1998/reg/13/493/Gamebook.pdf
1998-12-06,1998,14,REG,1998_14_BAL_TEN,nfl-al-del-greco,Al Del Greco,TEN,BAL,1,1,3,3,"48,48,34",https://nflgsis.com/1998/reg/14/497/Gamebook.pdf
1998-12-06,1998,14,REG,1998_14_BUF_CIN,nfl-steve-christie,Steve Christie,BUF,CIN,3,3,4,4,"20,52,46,35",https://nflgsis.com/1998/reg/14/498/Gamebook.pdf
1998-12-06,1998,14,REG,1998_14_CHI_MIN,nfl-gary-anderson,Gary Anderson,MIN,CHI,6,6,2,2,"30,20",https://nflgsis.com/1998/reg/14/509/Gamebook.pdf
1998-12-06,1998,14,REG,1998_14_DAL_NO,nfl-doug-brien,Doug Brien,NO,DAL,2,2,2,2,"53,53",https://nflgsis.com/1998/reg/14/499/Gamebook.pdf
1998-12-06,1998,14,REG,1998_14_DET_JAX,nfl-jason-hanson-2,Jason Hanson,DET,JAX,1,1,3,4,"34,24,45",https://nflgsis.com/1998/reg/14/500/Gamebook.pdf
1998-12-06,1998,14,REG,1998_14_DET_JAX,nfl-mike-hollis,Mike Hollis,JAX,DET,4,4,3,3,"44,43,30",https://nflgsis.com/1998/reg/14/500/Gamebook.pdf
1998-12-07,1998,14,REG,1998_14_GB_TB,nfl-ryan-longwell,Ryan Longwell,GB,TB,1,1,3,3,"33,36,35",https://nflgsis.com/1998/reg/14/510/Gamebook.pdf
1998-12-06,1998,14,REG,1998_14_MIA_OAK,nfl-olindo-mare,Olindo Mare,MIA,OAK,3,3,2,4,"25,47",https://nflgsis.com/1998/reg/14/503/Gamebook.pdf
1998-12-06,1998,14,REG,1998_14_NE_PIT,nfl-adam-vinatieri,Adam Vinatieri,NE,PIT,2,2,3,3,"21,29,35",https://nflgsis.com/1998/reg/14/504/Gamebook.pdf
1998-12-06,1998,14,REG,1998_14_NE_PIT,nfl-norm-johnson,Norm Johnson,PIT,NE,0,0,3,3,"49,26,43",https://nflgsis.com/1998/reg/14/504/Gamebook.pdf
1998-12-06,1998,14,REG,1998_14_NYG_ARI,nfl-brad-daluiso,Brad Daluiso,NYG,ARI,2,2,3,3,"51,28,45",https://nflgsis.com/1998/reg/14/505/Gamebook.pdf
1998-12-06,1998,14,REG,1998_14_SD_WAS,nfl-john-carney,John Carney,SD,WAS,0,0,4,5,"32,27,41,25",https://nflgsis.com/1998/reg/14/506/Gamebook.pdf
1998-12-06,1998,14,REG,1998_14_SEA_NYJ,nfl-john-hall,John Hall,NYJ,SEA,2,2,2,2,"20,20",https://nflgsis.com/1998/reg/14/508/Gamebook.pdf
1998-12-03,1998,14,REG,1998_14_STL_PHI,nfl-jeff-wilkins,Jeff Wilkins,STL,PHI,0,0,2,3,"46,20",https://nflgsis.com/1998/reg/14/496/Gamebook.pdf
1998-12-13,1998,15,REG,1998_15_ARI_PHI,nfl-chris-jacke,Chris Jacke,ARI,PHI,2,2,2,3,"28,32",https://nflgsis.com/1998/reg/15/511/Gamebook.pdf
1998-12-13,1998,15,REG,1998_15_ATL_NO,nfl-morten-andersen,Morten Andersen,ATL,NO,3,3,2,2,"49,33",https://nflgsis.com/1998/reg/15/512/Gamebook.pdf
1998-12-13,1998,15,REG,1998_15_CHI_GB,nfl-ryan-longwell,Ryan Longwell,GB,CHI,2,2,4,4,"35,43,40,24",https://nflgsis.com/1998/reg/15/513/Gamebook.pdf
