date,season,week,season_type,game_id,player_id,player_name,team,opponent,xp_made,xp_attempts,fg_made,fg_attempts,fg_made_distances
1996-01-06,1995,2,POST,1995_POST_02_DIV_BUF_PIT,nfl-norm-johnson,Norm Johnson,PIT,BUF,4,4,4,4,"45,38,34,39"
1996-01-06,1995,2,POST,1995_POST_02_DIV_BUF_PIT,nfl-steve-christie,Steve Christie,BUF,PIT,3,3,0,1,
1996-01-06,1995,2,POST,1995_POST_02_DIV_GB_SF,nfl-chris-jacke,Chris Jacke,GB,SF,3,3,2,3,"27,26"
1996-01-06,1995,2,POST,1995_POST_02_DIV_GB_SF,nfl-jeff-wilkins,Jeff Wilkins,SF,GB,2,2,1,1,21
1996-01-07,1995,2,POST,1995_POST_02_DIV_IND_KC,nfl-cary-blanchard,Cary Blanchard,IND,KC,1,1,1,3,30
1996-01-07,1995,2,POST,1995_POST_02_DIV_IND_KC,nfl-lin-elliott,Lin Elliott,KC,IND,1,1,0,3,
1996-01-07,1995,2,POST,1995_POST_02_DIV_PHI_DAL,nfl-chris-boniol,Chris Boniol,DAL,PHI,3,3,3,3,"24,18,51"
1996-01-07,1995,2,POST,1995_POST_02_DIV_PHI_DAL,nfl-gary-anderson,Gary Anderson,PHI,DAL,0,0,1,1,26
1996-01-14,1995,3,POST,1995_POST_03_CONF_GB_DAL,nfl-chris-boniol,Chris Boniol,DAL,GB,5,5,1,2,34
1996-01-14,1995,3,POST,1995_POST_03_CONF_GB_DAL,nfl-chris-jacke,Chris Jacke,GB,DAL,3,3,2,2,"46,37"
1996-01-14,1995,3,POST,1995_POST_03_CONF_IND_PIT,nfl-cary-blanchard,Cary Blanchard,IND,PIT,1,1,3,4,"34,36,37"
1996-01-14,1995,3,POST,1995_POST_03_CONF_IND_PIT,nfl-norm-johnson,Norm Johnson,PIT,IND,2,2,2,3,"31,36"
1996-01-28,1995,4,POST,1995_POST_04_SB_DAL_PIT,nfl-chris-boniol,Chris Boniol,DAL,PIT,3,3,2,2,"42,35"
1996-01-28,1995,4,POST,1995_POST_04_SB_DAL_PIT,nfl-norm-johnson,Norm Johnson,PIT,DAL,2,2,1,1,46
1996-12-28,1996,1,POST,1996_POST_01_WC_JAX_BUF,nfl-mike-hollis,Mike Hollis,JAX,BUF,3,3,3,4,"27,24,45"
1996-12-28,1996,1,POST,1996_POST_01_WC_JAX_BUF,nfl-steve-christie,Steve Christie,BUF,JAX,3,3,2,2,"33,47"
1996-12-28,1996,1,POST,1996_POST_01_WC_MIN_DAL,nfl-chris-boniol,Chris Boniol,DAL,MIN,4,4,4,4,"28,31,22,25"
1996-12-28,1996,1,POST,1996_POST_01_WC_MIN_DAL,nfl-scott-sisson,Scott Sisson,MIN,DAL,1,1,0,0,
1996-12-29,1996,1,POST,1996_POST_01_WC_IND_PIT,nfl-cary-blanchard,Cary Blanchard,IND,PIT,2,2,0,0,
1996-12-29,1996,1,POST,1996_POST_01_WC_IND_PIT,nfl-norm-johnson,Norm Johnson,PIT,IND,4,4,2,2,"29,50"
1996-12-29,1996,1,POST,1996_POST_01_WC_PHI_SF,nfl-gary-anderson,Gary Anderson,PHI,SF,0,0,0,1,
1996-12-29,1996,1,POST,1996_POST_01_WC_PHI_SF,nfl-jeff-wilkins,Jeff Wilkins,SF,PHI,2,2,0,0,
1997-01-04,1996,2,POST,1996_POST_02_DIV_JAX_DEN,nfl-jason-elam,Jason Elam,DEN,JAX,1,2,0,0,
1997-01-04,1996,2,POST,1996_POST_02_DIV_JAX_DEN,nfl-mike-hollis,Mike Hollis,JAX,DEN,3,3,3,3,"46,42,22"
1997-01-04,1996,2,POST,1996_POST_02_DIV_SF_GB,nfl-chris-jacke,Chris Jacke,GB,SF,5,5,0,0,
1997-01-04,1996,2,POST,1996_POST_02_DIV_SF_GB,nfl-jeff-wilkins,Jeff Wilkins,SF,GB,2,2,0,0,
1997-01-05,1996,2,POST,1996_POST_02_DIV_DAL_CAR,nfl-chris-boniol,Chris Boniol,DAL,CAR,0,0,3,3,"22,21,21"
1997-01-05,1996,2,POST,1996_POST_02_DIV_DAL_CAR,nfl-john-kasay,John Kasay,CAR,DAL,2,2,4,4,"24,40,40,32"
1997-01-05,1996,2,POST,1996_POST_02_DIV_PIT_NE,nfl-adam-vinatieri,Adam Vinatieri,NE,PIT,4,4,0,0,
